Date,Close
3/12/2018,10.33
4/12/2018,10.53
5/12/2018,10.43
6/12/2018,10.27
7/12/2018,10.41
10/12/2018,10.11
11/12/2018,10.21
12/12/2018,10.39
13/12/2018,10.65
14/12/2018,10.15
17/12/2018,10.5
18/12/2018,10.36
19/12/2018,10.28
20/12/2018,10.17
21/12/2018,10.01
24/12/2018,10.06
27/12/2018,10.4
28/12/2018,10.5
31/12/2018,10.32
2/01/2019,10.4
3/01/2019,10.5
4/01/2019,10.1
7/01/2019,10.48
8/01/2019,10.51
9/01/2019,10.8
10/01/2019,10.8
11/01/2019,10.71
14/01/2019,10.79
15/01/2019,11.21
16/01/2019,11.42
17/01/2019,11.84
18/01/2019,11.75
21/01/2019,11.75
22/01/2019,11.81
23/01/2019,11.79
24/01/2019,11.7
25/01/2019,11.66
29/01/2019,11.62
30/01/2019,11.58
31/01/2019,12.08
1/02/2019,12.21
4/02/2019,12.09
5/02/2019,12.17
6/02/2019,12.43
7/02/2019,12.54
8/02/2019,12.47
11/02/2019,12.84
12/02/2019,12.78
13/02/2019,13
14/02/2019,12.74
15/02/2019,12.25
18/02/2019,12.68
19/02/2019,12.34
20/02/2019,13.64
21/02/2019,14.1
22/02/2019,13.93
25/02/2019,14.05
26/02/2019,14.11
27/02/2019,13.98
28/02/2019,13.77
1/03/2019,13.85
4/03/2019,14.07
5/03/2019,14.27
6/03/2019,14.16
7/03/2019,14.05
8/03/2019,14.04
11/03/2019,13.85
12/03/2019,13.85
13/03/2019,13.72
14/03/2019,13.76
15/03/2019,13.4
18/03/2019,13.32
19/03/2019,13.15
20/03/2019,13.11
21/03/2019,13.34
22/03/2019,13.41
25/03/2019,13.34
26/03/2019,13.44
27/03/2019,13.48
28/03/2019,13.55
29/03/2019,13.62
1/04/2019,13.67
2/04/2019,14.01
3/04/2019,14.07
4/04/2019,14.04
5/04/2019,13.75
8/04/2019,13.84
9/04/2019,13.81
10/04/2019,13.78
11/04/2019,13.71
12/04/2019,14.04
15/04/2019,14.61
16/04/2019,14.99
17/04/2019,14.93
18/04/2019,14.65
23/04/2019,15.09
24/04/2019,15.48
26/04/2019,15.55
29/04/2019,15.87
30/04/2019,15.96
1/05/2019,15.43
2/05/2019,15.44
3/05/2019,15.39
6/05/2019,15.05
7/05/2019,15.44
8/05/2019,15.24
9/05/2019,15.11
10/05/2019,14.99
13/05/2019,14.83
14/05/2019,15.02
15/05/2019,15.4
16/05/2019,15.38
17/05/2019,15.39
20/05/2019,15.34
21/05/2019,15.25
22/05/2019,15.13
23/05/2019,15.08
24/05/2019,14.96
27/05/2019,14.74
28/05/2019,14.9
29/05/2019,14.92
30/05/2019,14.58
31/05/2019,14.68
3/06/2019,14.26
4/06/2019,13.03
5/06/2019,13.48
6/06/2019,13.45
7/06/2019,13.64
11/06/2019,13.95
12/06/2019,13.92
13/06/2019,13.87
14/06/2019,14.04
17/06/2019,13.86
18/06/2019,13.41
19/06/2019,13.64
20/06/2019,13.54
21/06/2019,13.22
24/06/2019,13.44
25/06/2019,13.82
26/06/2019,13.6
27/06/2019,13.89
28/06/2019,13.85
1/07/2019,13.86
2/07/2019,13.87
3/07/2019,14.36
4/07/2019,14.22
5/07/2019,14.33
8/07/2019,14.6
9/07/2019,14.5
10/07/2019,15.66
11/07/2019,15.78
12/07/2019,15.85
15/07/2019,15.85
16/07/2019,15.62
17/07/2019,16.04
18/07/2019,15.99
19/07/2019,16.22
22/07/2019,16.42
23/07/2019,16.71
24/07/2019,16.33
25/07/2019,16.71
26/07/2019,16.56
29/07/2019,17.1
30/07/2019,17.13
31/07/2019,17.12
1/08/2019,16.9
2/08/2019,16.8
5/08/2019,16.3
6/08/2019,16.1
7/08/2019,15.8
8/08/2019,15.25
9/08/2019,15.23
12/08/2019,15.3
13/08/2019,15.18
14/08/2019,15.31
15/08/2019,14.9
16/08/2019,14.82
19/08/2019,15.38
20/08/2019,16
21/08/2019,13.89
22/08/2019,13.77
23/08/2019,13.59
26/08/2019,13.47
27/08/2019,13.46
28/08/2019,13.45
29/08/2019,13.21
