Date,Close
1/10/2012,52.72
2/10/2012,52.45
3/10/2012,52.51
4/10/2012,53.81
5/10/2012,53.57
8/10/2012,53.13
9/10/2012,52.05
10/10/2012,51.86
11/10/2012,52.65
12/10/2012,51.5
15/10/2012,51.21
16/10/2012,52
17/10/2012,53.04
18/10/2012,52.69
19/10/2012,52.67
22/10/2012,53.62
23/10/2012,52.58
24/10/2012,51.64
25/10/2012,56.36
26/10/2012,55.63
31/10/2012,56.49
1/11/2012,56.3
2/11/2012,52.91
5/11/2012,53.99
6/11/2012,54.93
7/11/2012,55.79
8/11/2012,56.42
9/11/2012,55.62
12/11/2012,55.77
13/11/2012,55.17
14/11/2012,54.35
15/11/2012,51.63
16/11/2012,52.14
19/11/2012,55.42
20/11/2012,54.46
21/11/2012,55.3
23/11/2012,56.48
26/11/2012,57.33
27/11/2012,55.34
28/11/2012,55.93
29/11/2012,56.34
30/11/2012,55.8
3/12/2012,55.11
4/12/2012,54.05
5/12/2012,52.4
6/12/2012,53.06
7/12/2012,53.67
10/12/2012,54.24
11/12/2012,53.67
12/12/2012,54.3
13/12/2012,53.35
14/12/2012,53.45
17/12/2012,53.19
18/12/2012,52.03
19/12/2012,51.44
20/12/2012,50.84
21/12/2012,51.01
24/12/2012,50.94
26/12/2012,50.42
27/12/2012,50.85
28/12/2012,50.68
31/12/2012,52.46
2/01/2013,53.33
3/01/2013,51.54
4/01/2013,51.06
7/01/2013,49.61
8/01/2013,49.87
9/01/2013,49.88
10/01/2013,50.69
11/01/2013,50.87
14/01/2013,50.71
15/01/2013,51.03
16/01/2013,50.9
17/01/2013,50.59
18/01/2013,50.57
22/01/2013,50.68
23/01/2013,49.33
24/01/2013,47.56
25/01/2013,45.88
28/01/2013,45.82
29/01/2013,46.24
30/01/2013,46.65
31/01/2013,45.83
1/02/2013,46.26
4/02/2013,46.02
5/02/2013,45.79
6/02/2013,45.58
7/02/2013,45.66
8/02/2013,45.47
11/02/2013,44.19
12/02/2013,44.7
13/02/2013,44.1
14/02/2013,43.66
15/02/2013,41.14
19/02/2013,40.75
20/02/2013,38.58
21/02/2013,40.31
22/02/2013,40.19
25/02/2013,40.79
26/02/2013,41.92
27/02/2013,41.33
28/02/2013,40.04
1/03/2013,40.09
4/03/2013,39.19
5/03/2013,38.57
6/03/2013,40.29
7/03/2013,39.4
8/03/2013,39.22
11/03/2013,38.97
12/03/2013,40.29
13/03/2013,39.19
14/03/2013,39.8
15/03/2013,39.69
18/03/2013,39.85
19/03/2013,40.36
20/03/2013,40.6
21/03/2013,41.2
22/03/2013,41.04
25/03/2013,40.29
26/03/2013,40.15
27/03/2013,40.57
28/03/2013,41.04
1/04/2013,40.54
2/04/2013,38.86
3/04/2013,36.77
4/04/2013,37.62
5/04/2013,38.05
8/04/2013,37.77
9/04/2013,39.4
10/04/2013,38.65
11/04/2013,38.74
12/04/2013,35.65
15/04/2013,32.4
16/04/2013,32.59
17/04/2013,31.02
18/04/2013,32.31
19/04/2013,32.3
22/04/2013,32.79
23/04/2013,32.03
24/04/2013,33.25
25/04/2013,32.96
26/04/2013,30.97
29/04/2013,30.87
30/04/2013,32.29
1/05/2013,31.54
2/05/2013,31.99
3/05/2013,31.51
6/05/2013,31.22
7/05/2013,30.28
8/05/2013,31.9
9/05/2013,31.33
10/05/2013,31.11
13/05/2013,30.38
14/05/2013,30.16
15/05/2013,28.53
16/05/2013,29.35
17/05/2013,27.92
20/05/2013,29.73
21/05/2013,28.64
22/05/2013,29.27
23/05/2013,29.32
24/05/2013,28.82
28/05/2013,28.6
29/05/2013,30.75
30/05/2013,31.55
31/05/2013,32.01
3/06/2013,32.93
4/06/2013,32.28
5/06/2013,32.73
6/06/2013,33.28
7/06/2013,31.07
10/06/2013,31.05
11/06/2013,30.2
12/06/2013,30.8
13/06/2013,31.01
14/06/2013,30.08
17/06/2013,30.56
18/06/2013,29.52
19/06/2013,28.82
20/06/2013,26.47
21/06/2013,26.88
24/06/2013,26.14
25/06/2013,26.26
26/06/2013,25.15
27/06/2013,25.39
28/06/2013,27.54
1/07/2013,28.43
2/07/2013,27.01
3/07/2013,27.87
5/07/2013,26.64
8/07/2013,27.53
9/07/2013,27.32
10/07/2013,27.12
11/07/2013,29.16
12/07/2013,28.4
15/07/2013,28.29
16/07/2013,29.04
17/07/2013,28
18/07/2013,27.08
19/07/2013,28.31
22/07/2013,29.84
23/07/2013,30.18
24/07/2013,28.17
25/07/2013,28.07
26/07/2013,28.93
29/07/2013,29.02
30/07/2013,28.8
31/07/2013,28.41
1/08/2013,27.49
2/08/2013,26.57
5/08/2013,26.45
6/08/2013,25.43
7/08/2013,25.65
8/08/2013,27.48
9/08/2013,27.61
12/08/2013,29.26
13/08/2013,28.63
14/08/2013,29.88
15/08/2013,31.56
16/08/2013,31
19/08/2013,30.97
20/08/2013,32.15
21/08/2013,30.79
22/08/2013,31.4
23/08/2013,32.56
26/08/2013,32.88
27/08/2013,31.17
28/08/2013,30.72
29/08/2013,30.48
30/08/2013,30.05
3/09/2013,30.25
4/09/2013,30.63
5/09/2013,28.86
6/09/2013,29.77
9/09/2013,29.13
10/09/2013,28.03
11/09/2013,28.01
12/09/2013,26.43
13/09/2013,26.93
16/09/2013,26.71
17/09/2013,27.31
18/09/2013,29.44
19/09/2013,28.72
20/09/2013,26.82
23/09/2013,26.35
24/09/2013,26.32
25/09/2013,27.05
26/09/2013,26.28
27/09/2013,26.3
30/09/2013,26.47
1/10/2013,25.77
2/10/2013,25.99
3/10/2013,25.67
4/10/2013,25.4
7/10/2013,26.12
8/10/2013,25.06
9/10/2013,24.93
10/10/2013,24.85
11/10/2013,24.49
14/10/2013,24.16
15/10/2013,24.8
16/10/2013,24.05
17/10/2013,25.52
18/10/2013,24.97
21/10/2013,25.34
22/10/2013,26.62
23/10/2013,25.86
24/10/2013,30.52
25/10/2013,30.86
28/10/2013,31.36
29/10/2013,30.05
30/10/2013,30.28
31/10/2013,29.53
1/11/2013,28.9
4/11/2013,29.48
5/11/2013,28.98
6/11/2013,29.06
7/11/2013,28.49
8/11/2013,29.31
11/11/2013,28.79
12/11/2013,27.98
13/11/2013,28.1
14/11/2013,29.42
15/11/2013,28.56
18/11/2013,27.56
19/11/2013,27.87
20/11/2013,27.04
21/11/2013,26.45
22/11/2013,26.2
25/11/2013,26.56
26/11/2013,26.51
27/11/2013,27
29/11/2013,27.54
2/12/2013,25.59
3/12/2013,25.58
4/12/2013,26.38
5/12/2013,25.57
6/12/2013,25.45
9/12/2013,25.93
10/12/2013,27.4
11/12/2013,26.5
12/12/2013,26.19
13/12/2013,26.37
16/12/2013,26.33
17/12/2013,26.01
18/12/2013,25.65
19/12/2013,25.13
20/12/2013,25.19
23/12/2013,25.42
24/12/2013,26.58
26/12/2013,26.5
27/12/2013,26.66
30/12/2013,25.93
31/12/2013,26.38
2/01/2014,27.59
3/01/2014,27.11
6/01/2014,27.37
7/01/2014,27.3
8/01/2014,26.79
9/01/2014,26
10/01/2014,27.26
13/01/2014,28.62
14/01/2014,27.79
15/01/2014,28.73
16/01/2014,28.46
17/01/2014,29.36
21/01/2014,29.79
22/01/2014,28.57
23/01/2014,30.61
24/01/2014,30.92
27/01/2014,30.12
28/01/2014,30.6
29/01/2014,31.62
30/01/2014,30.64
31/01/2014,31.08
3/02/2014,31.69
4/02/2014,31.25
5/02/2014,31.18
