Date,Close
3/12/2018,46.5
4/12/2018,45.88
6/12/2018,44.87
7/12/2018,44.58
10/12/2018,44.9
11/12/2018,45.91
12/12/2018,46.61
13/12/2018,47.69
14/12/2018,46.16
17/12/2018,46.99
18/12/2018,47.42
19/12/2018,47.14
20/12/2018,46.77
21/12/2018,47.1
24/12/2018,46.23
26/12/2018,48.3
27/12/2018,47.95
28/12/2018,47.92
31/12/2018,48.29
2/01/2019,47.86
3/01/2019,46.39
4/01/2019,49.22
7/01/2019,49.48
8/01/2019,49.33
9/01/2019,49.6
10/01/2019,47.54
11/01/2019,47.2
14/01/2019,47.14
15/01/2019,47.53
16/01/2019,47.34
17/01/2019,47.85
18/01/2019,48.04
22/01/2019,46.37
23/01/2019,46.53
24/01/2019,46.62
25/01/2019,48.21
28/01/2019,48.21
29/01/2019,49.11
30/01/2019,50.73
31/01/2019,51.19
1/02/2019,51.09
4/02/2019,51.12
5/02/2019,51.15
6/02/2019,51.01
7/02/2019,50.47
8/02/2019,50.7
11/02/2019,50.9
12/02/2019,51.25
13/02/2019,51.66
14/02/2019,51.97
15/02/2019,52.76
19/02/2019,53.2
20/02/2019,54.17
21/02/2019,53.39
22/02/2019,54.3
25/02/2019,54.16
26/02/2019,54.48
27/02/2019,54.28
28/02/2019,52.9
1/03/2019,52.51
4/03/2019,52.79
5/03/2019,52.89
6/03/2019,53.23
7/03/2019,51.89
8/03/2019,51.65
11/03/2019,52.13
12/03/2019,52.28
13/03/2019,52.81
14/03/2019,52.2
15/03/2019,52.12
18/03/2019,53.02
19/03/2019,52.84
20/03/2019,53.39
21/03/2019,53.69
22/03/2019,52.25
25/03/2019,52.71
26/03/2019,53.5
27/03/2019,53.86
28/03/2019,54.01
29/03/2019,54.67
1/04/2019,56
2/04/2019,56.11
3/04/2019,56.3
4/04/2019,56.18
5/04/2019,56.33
8/04/2019,57.13
9/04/2019,56.51
10/04/2019,57
11/04/2019,56.35
12/04/2019,56.83
15/04/2019,56.02
16/04/2019,55.37
17/04/2019,55.12
18/04/2019,54.95
22/04/2019,55.13
23/04/2019,54.68
24/04/2019,53.3
25/04/2019,53.35
26/04/2019,53.28
29/04/2019,53.34
30/04/2019,52.95
1/05/2019,51.92
2/05/2019,51.72
3/05/2019,52.81
6/05/2019,51.9
7/05/2019,51.89
8/05/2019,51.78
9/05/2019,51.45
10/05/2019,51.87
13/05/2019,50.65
14/05/2019,51.25
15/05/2019,51.42
16/05/2019,52.04
17/05/2019,52.07
20/05/2019,52.32
21/05/2019,52.34
22/05/2019,51.76
23/05/2019,51.28
24/05/2019,52.48
28/05/2019,53.15
29/05/2019,52.64
30/05/2019,52.5
31/05/2019,51.91
3/06/2019,52.38
4/06/2019,53.01
5/06/2019,52.38
6/06/2019,52.72
7/06/2019,53.1
10/06/2019,53.33
11/06/2019,55.05
12/06/2019,54.78
13/06/2019,55.47
14/06/2019,54.97
17/06/2019,54.85
18/06/2019,56.37
19/06/2019,55.73
20/06/2019,57.09
21/06/2019,56.6
24/06/2019,57.34
25/06/2019,57.08
26/06/2019,57.87
27/06/2019,58.21
28/06/2019,58.11
1/07/2019,58.44
2/07/2019,58.97
3/07/2019,58.93
5/07/2019,56.61
8/07/2019,57.19
9/07/2019,56.87
10/07/2019,57.44
11/07/2019,57.21
12/07/2019,57.24
15/07/2019,57.85
16/07/2019,57.56
17/07/2019,58.01
18/07/2019,57.84
19/07/2019,58.3
22/07/2019,58.47
23/07/2019,58.38
24/07/2019,56.34
25/07/2019,56.11
26/07/2019,56.13
29/07/2019,56.43
30/07/2019,56.26
31/07/2019,54.93
1/08/2019,52.93
2/08/2019,52.05
5/08/2019,50.43
6/08/2019,50.22
7/08/2019,49.89
8/08/2019,51
9/08/2019,49.98
12/08/2019,49.54
13/08/2019,50.65
14/08/2019,49.17
15/08/2019,49.3
16/08/2019,48.81
19/08/2019,49.14
20/08/2019,48.43
21/08/2019,47.61
22/08/2019,47.25
23/08/2019,46.69
26/08/2019,47.22
27/08/2019,47.14
28/08/2019,47.81
29/08/2019,48.14
30/08/2019,49.16
3/09/2019,48.73
4/09/2019,50.41
5/09/2019,49.31
6/09/2019,49.16
9/09/2019,49.75
10/09/2019,50.36
11/09/2019,50.58
12/09/2019,50.96
13/09/2019,51.92
16/09/2019,52.04
17/09/2019,51.58
18/09/2019,51.19
19/09/2019,51.35
20/09/2019,50.99
23/09/2019,50.6
24/09/2019,49.21
25/09/2019,49.63
26/09/2019,49.48
27/09/2019,49.77
30/09/2019,49.38
1/10/2019,49.01
2/10/2019,47.68
3/10/2019,47.87
4/10/2019,48.41
7/10/2019,47.8
8/10/2019,47.47
9/10/2019,47.54
10/10/2019,48.37
11/10/2019,49.61
14/10/2019,48.62
15/10/2019,48.68
16/10/2019,48.17
17/10/2019,47.67
18/10/2019,47.53
21/10/2019,48.38
22/10/2019,48.56
23/10/2019,49.03
24/10/2019,48.87
25/10/2019,49.22
28/10/2019,49.89
29/10/2019,49.72
30/10/2019,49.37
31/10/2019,48.91
1/11/2019,49.99
4/11/2019,50.91
5/11/2019,51.85
6/11/2019,51.4
7/11/2019,51.47
8/11/2019,50.79
11/11/2019,50.37
12/11/2019,50.32
13/11/2019,49.71
14/11/2019,49.9
15/11/2019,50.89
18/11/2019,50.65
19/11/2019,51.12
20/11/2019,50.22
21/11/2019,50.32
22/11/2019,50.84
25/11/2019,51.46
26/11/2019,51.57
27/11/2019,51.85
29/11/2019,51.53
2/12/2019,51.75
3/12/2019,50.79
4/12/2019,51.42
5/12/2019,51.08
6/12/2019,51.75
9/12/2019,52.27
10/12/2019,52.59
11/12/2019,53.22
12/12/2019,53.74
13/12/2019,54.16
16/12/2019,55.19
17/12/2019,55.31
18/12/2019,54.74
19/12/2019,54.63
20/12/2019,54.36
23/12/2019,54.52
24/12/2019,54.46
26/12/2019,54.81
27/12/2019,54.93
30/12/2019,54.72
31/12/2019,54.71
2/01/2020,54.92
3/01/2020,54.55
6/01/2020,54.49
7/01/2020,54.49
8/01/2020,54.76
9/01/2020,54.24
10/01/2020,54.39
13/01/2020,54.75
14/01/2020,55.19
15/01/2020,55.03
16/01/2020,55.56
17/01/2020,56.48
21/01/2020,55.58
22/01/2020,56.34
23/01/2020,55.64
24/01/2020,54.44
27/01/2020,52.75
28/01/2020,53.01
29/01/2020,52.92
30/01/2020,52.98
31/01/2020,51.11
3/02/2020,50.78
4/02/2020,52.17
5/02/2020,52.85
6/02/2020,52.53
7/02/2020,51.07
10/02/2020,51.06
11/02/2020,51.52
12/02/2020,52.37
13/02/2020,52
14/02/2020,51.69
18/02/2020,51.56
19/02/2020,51.43
20/02/2020,50.64
21/02/2020,50.41
24/02/2020,47.87
25/02/2020,46.78
26/02/2020,46.44
27/02/2020,44.92
28/02/2020,43.31
2/03/2020,44.25
3/03/2020,43.94
4/03/2020,45.78
5/03/2020,43.1
6/03/2020,41.75
9/03/2020,34.87
10/03/2020,37.76
11/03/2020,35.45
12/03/2020,30.93
13/03/2020,34.29
16/03/2020,31.55
17/03/2020,34.87
18/03/2020,30.95
19/03/2020,32.35
20/03/2020,31.47
23/03/2020,31.72
24/03/2020,36.46
25/03/2020,37.32
26/03/2020,37.85
27/03/2020,35.59
30/03/2020,37.05
31/03/2020,36.69
1/04/2020,35.87
2/04/2020,37.9
3/04/2020,36.59
6/04/2020,38.9
7/04/2020,38.52
8/04/2020,39.31
9/04/2020,39.51
13/04/2020,39.61
14/04/2020,40.36
15/04/2020,38.41
16/04/2020,38.61
17/04/2020,40.02
20/04/2020,38.77
21/04/2020,36.83
22/04/2020,37.75
23/04/2020,38.35
24/04/2020,39.07
27/04/2020,39.5
28/04/2020,39.94
29/04/2020,42.11
30/04/2020,40.68
1/05/2020,38.44
4/05/2020,38.88
5/05/2020,39.16
6/05/2020,39.38
7/05/2020,40.44
8/05/2020,41.42
11/05/2020,40.3
12/05/2020,39.41
13/05/2020,39.63
14/05/2020,40.36
15/05/2020,41.35
18/05/2020,44.79
19/05/2020,44.85
20/05/2020,45.86
21/05/2020,45.54
22/05/2020,45.5
26/05/2020,45.93
27/05/2020,46.21
28/05/2020,46.7
29/05/2020,47.1
1/06/2020,48.25
2/06/2020,49.77
3/06/2020,50.48
4/06/2020,50.4
5/06/2020,51.45
8/06/2020,52.68
9/06/2020,52.28
10/06/2020,52.46
11/06/2020,48.67
12/06/2020,50.01
15/06/2020,49.35
16/06/2020,50.05
