Date,Close
2/06/2015,28
3/06/2015,28.06
4/06/2015,27.87
5/06/2015,27.86
8/06/2015,27.97
9/06/2015,25.8
10/06/2015,26.05
11/06/2015,26.03
12/06/2015,25.96
15/06/2015,25.42
16/06/2015,24.9
17/06/2015,24.91
18/06/2015,24.88
19/06/2015,24.95
22/06/2015,25.26
23/06/2015,25.9
24/06/2015,25.92
25/06/2015,26.49
26/06/2015,26.88
29/06/2015,26.68
30/06/2015,27.77
1/07/2015,27.99
2/07/2015,29.09
6/07/2015,29.81
7/07/2015,29.35
8/07/2015,28.17
9/07/2015,27.86
10/07/2015,29.18
13/07/2015,28.74
14/07/2015,28.36
15/07/2015,28.01
16/07/2015,29.92
17/07/2015,29.96
20/07/2015,29.56
21/07/2015,29.41
22/07/2015,28.55
23/07/2015,28.33
24/07/2015,28.1
27/07/2015,27.63
28/07/2015,28.88
29/07/2015,29.85
30/07/2015,29.4
31/07/2015,29.79
3/08/2015,31
4/08/2015,31.02
5/08/2015,31.07
6/08/2015,31.59
7/08/2015,31.95
10/08/2015,32.03
11/08/2015,31.65
12/08/2015,31.79
13/08/2015,32.4
14/08/2015,32.5
17/08/2015,33.84
18/08/2015,32.63
19/08/2015,32.36
20/08/2015,32.28
21/08/2015,31.8
24/08/2015,30.54
25/08/2015,31.08
26/08/2015,31.24
27/08/2015,31.39
28/08/2015,31.41
31/08/2015,31.93
1/09/2015,31.56
2/09/2015,32.23
3/09/2015,31.93
4/09/2015,32.17
8/09/2015,32.07
9/09/2015,31.39
10/09/2015,31.87
11/09/2015,31.65
14/09/2015,31.5
15/09/2015,32
16/09/2015,32.54
17/09/2015,32.79
18/09/2015,32.52
21/09/2015,33.18
22/09/2015,33.28
23/09/2015,33.11
24/09/2015,33.73
25/09/2015,34.17
28/09/2015,33.05
29/09/2015,32.17
30/09/2015,32.29
1/10/2015,33.27
2/10/2015,33.28
5/10/2015,33.7
6/10/2015,33.71
7/10/2015,33.27
8/10/2015,32.99
9/10/2015,32.9
12/10/2015,32.74
13/10/2015,32.96
14/10/2015,33.21
15/10/2015,32.95
16/10/2015,32.75
19/10/2015,32.31
20/10/2015,33.12
21/10/2015,32.79
22/10/2015,32.9
23/10/2015,32.77
26/10/2015,32.86
27/10/2015,32.89
28/10/2015,32.24
29/10/2015,34.14
30/10/2015,35.2
2/11/2015,35.86
3/11/2015,35.72
4/11/2015,35.91
5/11/2015,36.79
6/11/2015,36.99
9/11/2015,35.4
10/11/2015,36.68
