Date,Close
1/10/2012,33.21
2/10/2012,33.44
3/10/2012,33.13
4/10/2012,33.83
5/10/2012,33.69
8/10/2012,33.26
9/10/2012,33.42
10/10/2012,32.89
11/10/2012,33.05
12/10/2012,32.98
15/10/2012,33.02
16/10/2012,33.56
17/10/2012,34.33
18/10/2012,34.32
19/10/2012,33.99
22/10/2012,33.56
23/10/2012,32.87
24/10/2012,32.91
25/10/2012,33.33
26/10/2012,33.19
31/10/2012,33.62
1/11/2012,34.78
2/11/2012,34.83
5/11/2012,34.57
6/11/2012,34.83
7/11/2012,33.78
8/11/2012,33.27
9/11/2012,33.19
12/11/2012,33.37
13/11/2012,32.48
14/11/2012,31.73
15/11/2012,31.62
16/11/2012,31.47
19/11/2012,32.71
20/11/2012,32.97
21/11/2012,33.29
23/11/2012,33.92
26/11/2012,33.54
27/11/2012,33.08
28/11/2012,32.96
29/11/2012,33.08
30/11/2012,32.61
3/12/2012,32.48
4/12/2012,32.45
5/12/2012,32.97
6/12/2012,32.79
7/12/2012,32.5
10/12/2012,32.49
11/12/2012,32.53
12/12/2012,32.7
13/12/2012,32.13
14/12/2012,32.41
17/12/2012,32.66
18/12/2012,33.17
19/12/2012,33.02
20/12/2012,33.11
21/12/2012,32.88
24/12/2012,32.7
26/12/2012,32.7
27/12/2012,32.73
28/12/2012,32.27
31/12/2012,32.98
2/01/2013,33.9
3/01/2013,33.74
4/01/2013,33.97
7/01/2013,33.65
8/01/2013,33.55
9/01/2013,33.75
10/01/2013,34.14
11/01/2013,34.02
14/01/2013,34.35
15/01/2013,34.45
16/01/2013,34.31
17/01/2013,34.46
18/01/2013,34
22/01/2013,34.39
23/01/2013,34.04
24/01/2013,34.02
25/01/2013,34.14
28/01/2013,34.28
29/01/2013,34.4
30/01/2013,34.27
31/01/2013,34.02
1/02/2013,34.53
4/02/2013,34.21
5/02/2013,34.53
6/02/2013,32.73
7/02/2013,32.3
8/02/2013,32.19
11/02/2013,32.32
12/02/2013,32.53
13/02/2013,32.66
14/02/2013,32.16
15/02/2013,31.59
19/02/2013,31.78
20/02/2013,31.38
21/02/2013,30.92
22/02/2013,31.27
25/02/2013,30.56
26/02/2013,30.13
27/02/2013,30.33
28/02/2013,30.25
1/03/2013,30.09
4/03/2013,29.83
5/03/2013,30.02
6/03/2013,30.32
7/03/2013,30.6
8/03/2013,30.56
